source,steam_id,name,release_date,year,is_free,price,currency,metacritic,recommendations,genres,developers,publishers,estimated_copies,price_usd_est,gross_revenue_est_usd,dev_location,primary_genre
steam,10140.0,3D Ultra™ Minigolf Adventures,23 JUL 2009,2009.0,False,3135.0,CLP,,114,Deportes,Wanako Games,Activision,4560,3.3,15048.0,Santiago,Deportes
steam,1029560.0,Bandits,26 JUL 2019,2019.0,False,450.0,CLP,,0,"Acción, Aventura, Indie",Benerot,Benerot,0,0.47368421052631576,0.0,Chile (General),Acción
steam,1034040.0,"Causa, Voices of the Dusk",26 MAY 2021,2021.0,True,0.0,,,0,"Indie, Estrategia, Free to Play",Niebla Games,Niebla Games,0,0.0,0.0,Chile (General),Indie
steam,1035280.0,Stoppa!,15 MAR 2019,2019.0,False,1300.0,CLP,,0,Indie,Michiru Michel Nakamura,Michiru Michel Nakamura,0,1.368421052631579,0.0,Chile (General),Indie
steam,1078140.0,Hijos del Invierno,,,True,0.0,,,0,"Acción, Aventura, Casual, Indie",Dinogorila Creative Lab,Dinogorila Creative Lab,0,0.0,0.0,Chile (General),Acción
steam,1082930.0,The Signifier Director's Cut,15 OCT 2020,2020.0,False,10500.0,CLP,,244,"Aventura, Indie",Playmestudio,Raw Fury,9760,11.052631578947368,107873.6842105263,Valparaíso,Aventura
steam,1101360.0,Rock of Ages 3: Make & Break,21 JUL 2020,2020.0,False,6400.0,CLP,72.0,1167,"Acción, Indie, Carreras, Estrategia","ACE Team, Giant Monkey Robot","Maximum Entertainment, 3goo",46680,6.7368421052631575,314475.7894736842,Santiago,Acción
steam,1129480.0,El Culto,6 NOV 2019,2019.0,True,0.0,,,0,"Aventura, Free to Play, Indie, Rol",Homeworks Studios,Homeworks Studios,0,0.0,0.0,Chile (General),Aventura
steam,1152740.0,Asterminer,Por confirmarse,,False,0.0,,,0,"Casual, Indie",Benerot,Benerot,0,0.0,0.0,Chile (General),Casual
steam,1239080.0,Door Kickers 2: Task Force North,10 FEB 2025,2025.0,False,13000.0,CLP,84.0,11428,"Acción, Indie, Simuladores, Estrategia",KillHouse Games,KillHouse Games,457120,13.68421052631579,6255326.315789473,Chile (General),Acción
steam,1250410.0,Microsoft Flight Simulator (2020) 40th Anniversary Edition,17 AGO 2020,2020.0,False,44990.0,CLP,91.0,67213,Simuladores,Asobo Studio,Xbox Game Studios,2688520,47.357894736842105,127322647.15789473,Chile (General),Simuladores
steam,1305060.0,Virus Blast,5 JUN 2020,2020.0,True,0.0,,,0,"Acción, Casual, Indie, Free to Play",Rooftop Dog,Rooftop Dog,0,0.0,0.0,Chile (General),Acción
steam,1340400.0,Solitaire. Elemental Wizards,9 SEP 2020,2020.0,False,2400.0,CLP,,0,Casual,DigiMight,DigiMight,0,2.526315789473684,0.0,Chile (General),Casual
steam,1350370.0,Daybreak Slam,Por confirmarse,,False,0.0,,,0,"Acción, Casual, Indie",AOne Games ,AOne Games ,0,0.0,0.0,Santiago,Acción
steam,1367590.0,Tormented Souls,26 AGO 2021,2021.0,False,10500.0,CLP,75.0,5707,"Acción, Aventura","Dual Effect, Abstract Digital",PQube,228280,11.052631578947368,2523094.736842105,Santiago,Acción
steam,1411740.0,Urbek City Builder,13 JUL 2022,2022.0,False,7800.0,CLP,,1625,"Indie, Simuladores, Estrategia",Fridus,RockGame S.A.,65000,8.210526315789474,533684.2105263158,Chile (General),Indie
steam,1430680.0,Clash: Artifacts of Chaos,9 MAR 2023,2023.0,False,15500.0,CLP,,1058,"Acción, Aventura, Indie",ACE Team,Nacon,42320,16.31578947368421,690484.2105263157,Santiago,Acción
steam,1546760.0,Scarleth,20 MAY 2025,2025.0,False,8300.0,CLP,,0,"Acción, Aventura, Indie, Rol",evenyth,evenyth,0,8.736842105263158,0.0,Chile (General),Acción
steam,1721170.0,What Lies in the Multiverse,4 MAR 2022,2022.0,False,8300.0,CLP,,495,"Aventura, Casual, Indie","Studio Voyager, IguanaBee","Untold Tales, Doyoyo Games",19800,8.736842105263158,172989.4736842105,Santiago,Aventura
steam,1736620.0,The Eightfold Path,23 AGO 2024,2024.0,False,9990.0,CLP,,0,"Aventura, Indie",Friendly Llama,Starseed Forest,0,10.51578947368421,0.0,Chile (General),Aventura
steam,1743470.0,Dirty Wars: September 11,12 SEP 2023,2023.0,False,3000.0,CLP,,0,"Acción, Aventura, Indie, Estrategia","Uglycat Studios, Sudaka Games",Uglycat Studios,0,3.1578947368421053,0.0,Chile (General),Acción
