game,genre,price_usd,copies_sold,revenue_usd,metacritic,year,developers,is_free,is_paid,has_metacritic
3D Ultra™ Minigolf Adventures,Deportes,3.3,4560,15048.0,,2009,Wanako Games,False,True,False
Bandits,Acción,0.47,0,0.0,,2019,Benerot,False,True,False
"Causa, Voices of the Dusk",Indie,0.0,0,0.0,,2021,Niebla Games,True,False,False
Stoppa!,Indie,1.37,0,0.0,,2019,Michiru Michel Nakamura,False,True,False
Hijos del Invierno,Acción,0.0,0,0.0,,Unknown,Dinogorila Creative Lab,True,False,False
The Signifier Director's Cut,Aventura,11.05,9760,107848.0,,2020,Playmestudio,False,True,False
Rock of Ages 3: Make & Break,Acción,6.74,46680,314623.2,72.0,2020,"ACE Team, Giant Monkey Robot",False,True,True
El Culto,Aventura,0.0,0,0.0,,2019,Homeworks Studios,True,False,False
Asterminer,Casual,0.0,0,0.0,,Unknown,Benerot,False,True,False
Door Kickers 2: Task Force North,Acción,13.68,457120,6253401.6,84.0,2025,KillHouse Games,False,True,True
Microsoft Flight Simulator (2020) 40th Anniversary Edition,Simuladores,47.36,2688520,127328307.2,91.0,2020,Asobo Studio,False,True,True
Virus Blast,Acción,0.0,0,0.0,,2020,Rooftop Dog,True,False,False
Solitaire. Elemental Wizards,Casual,2.53,0,0.0,,2020,DigiMight,False,True,False
Daybreak Slam,Acción,0.0,0,0.0,,Unknown,AOne Games ,False,True,False
Tormented Souls,Acción,11.05,228280,2522494.0,75.0,2021,"Dual Effect, Abstract Digital",False,True,True
Urbek City Builder,Indie,8.21,65000,533650.0,,2022,Fridus,False,True,False
Clash: Artifacts of Chaos,Acción,16.32,42320,690662.4,,2023,ACE Team,False,True,False
Scarleth,Acción,8.74,0,0.0,,2025,evenyth,False,True,False
What Lies in the Multiverse,Aventura,8.74,19800,173052.0,,2022,"Studio Voyager, IguanaBee",False,True,False
The Eightfold Path,Aventura,10.52,0,0.0,,2024,Friendly Llama,False,True,False
Dirty Wars: September 11,Acción,3.16,0,0.0,,2023,"Uglycat Studios, Sudaka Games",False,True,False
Gematombe,Casual,8.74,0,0.0,,2023,Route 5 Games,False,True,False
Operation8 Project,Acción,0.0,0,0.0,,2022,Benzitczo Studio,True,False,False
Hoverise Rebellion,Acción,0.0,0,0.0,,Unknown,Zeak Games,False,True,False
Heroes of The Sacred Tree,Acción,6.74,0,0.0,,2022,Animas Games,False,True,False
Re:Agent,Acción,0.0,0,0.0,,Unknown,Time Hunters Studios,False,True,False
Genimas: Life reborn,Acción,0.0,0,0.0,,Unknown,Trialis Studios,False,True,False
Logic Circuit: Marble Puzzle,Casual,4.74,0,0.0,,2022,"Chocolate Beast, TBM SP",False,True,False
Skull Island: Rise of Kong,Acción,20.0,5480,109600.0,,2023,IguanaBee,False,True,False
Jet & Sky,Acción,0.0,0,0.0,,Unknown,Sudaka Games,False,True,False
Zeno Clash 2,Acción,6.74,28360,191146.4,,2013,ACE Team,False,True,False
Zeno Clash,Acción,4.21,83760,352629.6,77.0,2009,ACE Team,False,True,True
Rock of Ages,Acción,4.63,128360,594306.7999999999,74.0,2011,ACE Team,False,True,True
Last Eclipse,Acción,7.68,0,0.0,,2025,Animas Games,False,True,False
Sinner's Tavern,Acción,0.0,0,0.0,,Unknown,WoolCat Games,False,True,False
SPELLRAIN,Acción,0.0,0,0.0,,Unknown,Slime Team,False,True,False
Mutter,Acción,0.0,0,0.0,,Unknown,DeadlyCrow Games,False,True,False
ZOMBI ROCKSTAR,Acción,6.05,0,0.0,,2023,SoulBattery,False,True,False
Rise of Jericho,Estrategia,8.41,0,0.0,,2023,Sudaka Games,False,True,False
Mix the Forgotten,Acción,0.0,0,0.0,,Unknown,Abstract Digital,False,True,False
Locuras en el Banaverso,Acción,7.37,0,0.0,,2024,Newvicon Ltd,False,True,False
MENACE,Rol,15.71,161920,2543763.2,,2026,Overhype Studios,False,True,False
Tormented Souls 2,Acción,16.32,53160,867571.2000000001,78.0,2025,Dual Effect,False,True,True
Afterlife Gladiator,Indie,6.05,0,0.0,,2024,BakarLabs,False,True,False
PartySaur: Dino Mayhem,Acción,0.0,0,0.0,,Unknown,DireGrin Studio,False,True,False
Abyss Odyssey,Acción,6.74,50600,341044.0,69.0,2014,ACE Team,False,True,True
Ink of Fate,Aventura,0.0,0,0.0,,Unknown,Cloud Creatures Studios,False,True,False
The Rise of the Golden Idol,Aventura,11.05,135600,1498380.0,,2024,Color Gray Games,False,True,False
Orphans,Aventura,9.68,0,0.0,,2025,Infinity Gears Studios,False,True,False
Cosmic Horror Tales: Roots Below,Acción,0.0,0,0.0,,Unknown,Moss Tower Studio,False,True,False
Haunted Paws,Aventura,0.0,0,0.0,,Unknown,LazyFlock,False,True,False
Gallery of Shadows - Lycans Returns,Acción,0.0,0,0.0,,Unknown,Little Kings,False,True,False
"Stop, Pawssport Check",Acción,0.0,0,0.0,,Unknown,Mezcla Estudio,False,True,False
Selknam Defense,Acción,3.16,0,0.0,,2014,,False,True,False
Arm Around!,Acción,0.0,0,0.0,,Unknown,RAM CANDY,False,True,False
The Rangers In The South,Acción,4.11,30320,124615.2,,2025,DPA Studios,False,True,False
The Trolley Solution,Acción,3.16,18600,58776.0,,2025,byDanDans,False,True,False
Leap Galaxy,Acción,0.0,0,0.0,,2026,Peach in Tune,False,True,False
Night in Delirium,Indie,0.0,0,0.0,,Unknown,Grupo Trenza,False,True,False
Tiles in Time,Casual,5.47,0,0.0,,2025,Tyrant Team 7,False,True,False
Dungeon Shifters,Acción,3.16,0,0.0,,2025,Shifting Realms,False,True,False
El Pasante Elementalista,Aventura,0.0,0,0.0,,2025,"Gustavo A. Ruiz González, Claudio Pastene Sandoval",True,False,False
Bulbo's Belief System,Acción,0.0,0,0.0,,Unknown,Abstract Digital,False,True,False
Selve,Aventura,0.0,0,0.0,,Unknown,"Nicolas Frois, Distant Point",False,True,False
Oriontis,Indie,0.0,0,0.0,,Unknown,Beacon 55,False,True,False
Isekai Guild,Aventura,0.0,0,0.0,,Unknown,Time Hunters SpA,False,True,False
Hybrid Blood,Acción,10.32,0,0.0,,2025,Huggman,False,True,False
"Scalpel, Please!",Casual,0.0,0,0.0,,Unknown,WoolCat Games,False,True,False
Valiants: Arena,Casual,0.0,0,0.0,,2025,Vortrius,True,False,False
Forge the Fates,Indie,0.0,0,0.0,,Unknown,Chaos Logic Studios,False,True,False
Mecha Survivors - Early Access,Acción,2.0,0,0.0,,2025,"Lowie Games SpA, Time Hunters SpA",False,True,False
Avoidthis,Indie,2.0,0,0.0,,2025,avoidthis_games,False,True,False
PaRoKuuu,Casual,0.0,0,0.0,,Unknown,Xera Studios,False,True,False
SAI: Servicio de Auxilio Inmediato,Indie,0.0,0,0.0,,Unknown,Ando Ido Studio,False,True,False
Don Pepe y sus globos,Acción,0.0,0,0.0,,2026,Ibis Interactive,False,True,False
Microlandia,Simuladores,4.42,0,0.0,,2025,Information Superhighway Games,False,True,False
Space Evolver,Indie,0.0,0,0.0,,2026,JoaKing,False,True,False
Stick Out!,Acción,0.0,0,0.0,,2026,ParallaxFox,False,True,False
Chromatic Battles,Acción,0.0,0,0.0,,2026,NightWave Games,False,True,False
Rock of Ages 2: Bigger & Boulder™,Acción,6.74,106240,716057.6,,2017,ACE Team,False,True,False
Omen of Sorrow,Acción,4.17,0,0.0,,2023,AOne Games,False,True,False
Long Gone Days,Aventura,16.44,18160,298550.4,,2023,This I Dreamt,False,True,False
Santa Rockstar,Casual,3.26,10200,33252.0,,2016,Bekho Team,False,True,False
Dungeon of the Forgotten King,Indie,0.0,0,0.0,,2026,Crazy Goat Studios,False,True,False
Omnibion War,Acción,4.42,0,0.0,,2020,Crazy Bullet,False,True,False
Cyber Ops,Acción,6.74,4240,28577.6,,2020,Octeto Studios,False,True,False
The Eternal Cylinder,Acción,13.68,40360,552124.8,79.0,2022,ACE Team,False,True,True
Defenders of Ekron - Definitive Edition,Acción,6.74,0,0.0,,2018,In Vitro Games,False,True,False
This is Chile - Psychiatric edition,Educational,0.0,0,0.0,,Unknown,Predeterminado,True,False,False
CoÃ±aripe,Fighting,0.0,0,0.0,,Unknown,Crismoonster,True,False,False
DINA,Unknown,0.0,0,0.0,,Unknown,Khoser,True,False,False
Froggo Qlero,Adventure,0.0,0,0.0,,Unknown,ElLimitador,True,False,False
Quest for the Epic Treasure,Platformer,0.0,0,0.0,,Unknown,orenjikun,True,False,False
Nada hacia presagiar,Adventure,0.0,0,0.0,,Unknown,iddgamelabs,True,False,False
Huemulixir,Interactive Fiction,0.0,0,0.0,,Unknown,CLSource,True,False,False
Age of Origins - Prototype,Educational,0.0,0,0.0,,Unknown,Rolando Chaparro Gehren,True,False,False
