source,steam_id,name,release_date,year,is_free,price,currency,metacritic,recommendations,genres,developers,publishers
steam,10140.0,3D Ultra™ Minigolf Adventures,23 JUL 2009,2009,False,3135.0,CLP,,114,Deportes,Wanako Games,Activision
steam,1029560.0,Bandits,26 JUL 2019,2019,False,450.0,CLP,,0,"Acción, Aventura, Indie",Benerot,Benerot
steam,1034040.0,"Causa, Voices of the Dusk",26 MAY 2021,2021,True,0.0,CLP,,0,"Indie, Estrategia, Free to Play",Niebla Games,Niebla Games
steam,1035280.0,Stoppa!,15 MAR 2019,2019,False,1300.0,CLP,,0,Indie,Michiru Michel Nakamura,Michiru Michel Nakamura
steam,1078140.0,Hijos del Invierno,,Unknown,True,0.0,CLP,,0,"Acción, Aventura, Casual, Indie",Dinogorila Creative Lab,Dinogorila Creative Lab
steam,1082930.0,The Signifier Director's Cut,15 OCT 2020,2020,False,10500.0,CLP,,244,"Aventura, Indie",Playmestudio,Raw Fury
steam,1101360.0,Rock of Ages 3: Make & Break,21 JUL 2020,2020,False,6400.0,CLP,72.0,1167,"Acción, Indie, Carreras, Estrategia","ACE Team, Giant Monkey Robot","Maximum Entertainment, 3goo"
steam,1129480.0,El Culto,6 NOV 2019,2019,True,0.0,CLP,,0,"Aventura, Free to Play, Indie, Rol",Homeworks Studios,Homeworks Studios
steam,1152740.0,Asterminer,Por confirmarse,Unknown,False,0.0,CLP,,0,"Casual, Indie",Benerot,Benerot
steam,1239080.0,Door Kickers 2: Task Force North,10 FEB 2025,2025,False,13000.0,CLP,84.0,11428,"Acción, Indie, Simuladores, Estrategia",KillHouse Games,KillHouse Games
steam,1250410.0,Microsoft Flight Simulator (2020) 40th Anniversary Edition,17 AGO 2020,2020,False,44990.0,CLP,91.0,67213,Simuladores,Asobo Studio,Xbox Game Studios
steam,1305060.0,Virus Blast,5 JUN 2020,2020,True,0.0,CLP,,0,"Acción, Casual, Indie, Free to Play",Rooftop Dog,Rooftop Dog
steam,1340400.0,Solitaire. Elemental Wizards,9 SEP 2020,2020,False,2400.0,CLP,,0,Casual,DigiMight,DigiMight
steam,1350370.0,Daybreak Slam,Por confirmarse,Unknown,False,0.0,CLP,,0,"Acción, Casual, Indie",AOne Games ,AOne Games 
steam,1367590.0,Tormented Souls,26 AGO 2021,2021,False,10500.0,CLP,75.0,5707,"Acción, Aventura","Dual Effect, Abstract Digital",PQube
steam,1411740.0,Urbek City Builder,13 JUL 2022,2022,False,7800.0,CLP,,1625,"Indie, Simuladores, Estrategia",Fridus,RockGame S.A.
steam,1430680.0,Clash: Artifacts of Chaos,9 MAR 2023,2023,False,15500.0,CLP,,1058,"Acción, Aventura, Indie",ACE Team,Nacon
steam,1546760.0,Scarleth,20 MAY 2025,2025,False,8300.0,CLP,,0,"Acción, Aventura, Indie, Rol",evenyth,evenyth
steam,1721170.0,What Lies in the Multiverse,4 MAR 2022,2022,False,8300.0,CLP,,495,"Aventura, Casual, Indie","Studio Voyager, IguanaBee","Untold Tales, Doyoyo Games"
steam,1736620.0,The Eightfold Path,23 AGO 2024,2024,False,9990.0,CLP,,0,"Aventura, Indie",Friendly Llama,Starseed Forest
steam,1743470.0,Dirty Wars: September 11,12 SEP 2023,2023,False,3000.0,CLP,,0,"Acción, Aventura, Indie, Estrategia","Uglycat Studios, Sudaka Games",Uglycat Studios
steam,1774060.0,Gematombe,28 ABR 2023,2023,False,8300.0,CLP,,0,"Casual, Indie, Estrategia",Route 5 Games,Ratalaika Games S.L.
steam,1860150.0,Operation8 Project,16 JUN 2022,2022,True,0.0,CLP,,0,"Acción, Free to Play, Multijugador masivo",Benzitczo Studio,Lovatto Studio
steam,1902060.0,Hoverise Rebellion,Próximamente,Unknown,False,0.0,CLP,,0,"Acción, Indie, Estrategia",Zeak Games,Zeak Games
steam,1903280.0,Heroes of The Sacred Tree,10 MAR 2022,2022,False,6400.0,CLP,,0,"Acción, Aventura, Indie",Animas Games,Animas Games
steam,1967150.0,Re:Agent,Próximamente,Unknown,False,0.0,CLP,,0,"Acción, Aventura, Indie",Time Hunters Studios,Time Hunters Studios
steam,1985980.0,Genimas: Life reborn,Próximamente,Unknown,False,0.0,CLP,,0,"Acción, Aventura, Indie, Rol, Acceso anticipado",Trialis Studios,Trialis Studios
steam,2091810.0,Logic Circuit: Marble Puzzle,3 AGO 2022,2022,False,4500.0,CLP,,0,"Casual, Indie","Chocolate Beast, TBM SP",TBM SP
steam,2097890.0,Skull Island: Rise of Kong,17 OCT 2023,2023,False,19000.0,CLP,,137,"Acción, Aventura",IguanaBee,GameMill Entertainment
steam,2119010.0,Jet & Sky,Por confirmarse,Unknown,False,0.0,CLP,,0,"Acción, Indie, Deportes",Sudaka Games,Starseed Forest
steam,215690.0,Zeno Clash 2,30 ABR 2013,2013,False,6400.0,CLP,,709,"Acción, Indie",ACE Team,SEGA
steam,22200.0,Zeno Clash,21 ABR 2009,2009,False,4000.0,CLP,77.0,2094,"Acción, Indie",ACE Team,ACE Team
steam,22230.0,Rock of Ages,7 SEP 2011,2011,False,4400.0,CLP,74.0,3209,"Acción, Indie, Carreras, Estrategia",ACE Team,SEGA
steam,2223460.0,Last Eclipse,25 MAR 2025,2025,False,7300.0,CLP,,0,"Acción, Indie",Animas Games,Animas Games
steam,2233420.0,Sinner's Tavern,Por confirmarse,Unknown,False,0.0,CLP,,0,"Acción, Aventura, Indie",WoolCat Games,WoolCat Games
steam,2242440.0,SPELLRAIN,Por confirmarse,Unknown,False,0.0,CLP,,0,"Acción, Aventura, Indie, Rol",Slime Team,Slime Team
steam,2301240.0,Mutter,Próximamente,Unknown,False,0.0,CLP,,0,"Acción, Aventura, Indie",DeadlyCrow Games,DeadlyCrow Games
steam,2309880.0,ZOMBI ROCKSTAR,21 MAY 2023,2023,False,5750.0,CLP,,0,"Acción, Aventura, Casual, Indie",SoulBattery,MUVIRON SpA
steam,2363570.0,Rise of Jericho,8 JUN 2023,2023,False,7990.0,CLP,,0,Estrategia,Sudaka Games,Starseed Forest
steam,2373720.0,Mix the Forgotten,Por confirmarse,Unknown,False,0.0,CLP,,0,"Acción, Aventura, Indie, Simuladores",Abstract Digital,Abstract Digital
steam,2424230.0,Locuras en el Banaverso,8 NOV 2024,2024,False,7000.0,CLP,,0,"Acción, Aventura, Casual, Indie",Newvicon Ltd,Newvicon Ltd
steam,2432860.0,MENACE,5 FEB 2026,2026,False,14925.0,CLP,,4048,"Rol, Simuladores, Estrategia, Acceso anticipado",Overhype Studios,Hooded Horse
steam,2464280.0,Tormented Souls 2,23 OCT 2025,2025,False,15500.0,CLP,78.0,1329,"Acción, Aventura",Dual Effect,PQube
steam,2488940.0,Afterlife Gladiator,5 NOV 2024,2024,False,5750.0,CLP,,0,"Indie, Rol",BakarLabs,BakarLabs
steam,2521510.0,PartySaur: Dino Mayhem,Próximamente,Unknown,False,0.0,CLP,,0,"Acción, Casual, Indie, Acceso anticipado",DireGrin Studio,DireGrin Studio
steam,255070.0,Abyss Odyssey,15 JUL 2014,2014,False,6400.0,CLP,69.0,1265,"Acción, Aventura, Indie",ACE Team,SEGA
steam,2697180.0,Ink of Fate,Próximamente,Unknown,False,0.0,CLP,,0,"Aventura, Indie",Cloud Creatures Studios,Cloud Creatures Studios
steam,2716400.0,The Rise of the Golden Idol,12 NOV 2024,2024,False,10500.0,CLP,,3390,"Aventura, Indie",Color Gray Games,Playstack
steam,2722400.0,Orphans,18 ABR 2025,2025,False,9200.0,CLP,,0,"Aventura, Indie",Infinity Gears Studios,Infinity Gears Studios
steam,2844350.0,Cosmic Horror Tales: Roots Below,Por confirmarse,Unknown,False,0.0,CLP,,0,"Acción, Indie, Rol",Moss Tower Studio,Moss Tower Studio
steam,2861080.0,Haunted Paws,Por confirmarse,Unknown,False,0.0,CLP,,0,"Aventura, Indie",LazyFlock,LazyFlock
steam,2895640.0,Gallery of Shadows - Lycans Returns,Próximamente,Unknown,False,0.0,CLP,,0,"Acción, Aventura, Indie, Simuladores",Little Kings,Little Kings
steam,2990920.0,"Stop, Pawssport Check",Por confirmarse,Unknown,False,0.0,CLP,,0,"Acción, Casual, Indie, Simuladores",Mezcla Estudio,Mezcla Estudio
steam,306260.0,Selknam Defense,25 JUL 2014,2014,False,3000.0,CLP,,0,"Acción, Indie, Estrategia",,
steam,3072400.0,Arm Around!,Por confirmarse,Unknown,False,0.0,CLP,,0,"Acción, Aventura, Indie, Simuladores",RAM CANDY,RAM CANDY
steam,3074110.0,The Rangers In The South,9 ENE 2025,2025,False,3900.0,CLP,,758,"Acción, Indie, Rol",DPA Studios,DPA Studios
steam,3219410.0,The Trolley Solution,12 SEP 2025,2025,False,3000.0,CLP,,465,"Acción, Aventura, Casual, Indie",byDanDans,The Bueno Interactive
steam,3327880.0,Leap Galaxy,2026,2026,False,0.0,CLP,,0,"Acción, Indie, Carreras",Peach in Tune,Peach in Tune
steam,3352560.0,Night in Delirium,Próximamente,Unknown,False,0.0,CLP,,0,"Indie, Simuladores",Grupo Trenza,Grupo Trenza
steam,3377480.0,Tiles in Time,24 MAR 2025,2025,False,5200.0,CLP,,0,"Casual, Indie, Estrategia",Tyrant Team 7,Tyrant Team 7
steam,3403100.0,Dungeon Shifters,5 AGO 2025,2025,False,3000.0,CLP,,0,"Acción, Aventura, Casual, Indie, Rol, Acceso anticipado",Shifting Realms,MUVIRON SpA
steam,3479650.0,El Pasante Elementalista,8 FEB 2025,2025,True,0.0,CLP,,0,"Aventura, Indie, Free to Play","Gustavo A. Ruiz González, Claudio Pastene Sandoval","Gustavo A. Ruiz González, Claudio Pastene Sandoval"
steam,3549280.0,Bulbo's Belief System,Próximamente,Unknown,False,0.0,CLP,,0,"Acción, Casual, Indie",Abstract Digital,Abstract Digital
steam,3571850.0,Selve,Próximamente,Unknown,False,0.0,CLP,,0,"Aventura, Indie","Nicolas Frois, Distant Point",Distant Point
steam,3583290.0,Oriontis,Próximamente,Unknown,False,0.0,CLP,,0,"Indie, Simuladores, Estrategia",Beacon 55,Beacon 55
steam,3729560.0,Isekai Guild,Por confirmarse,Unknown,False,0.0,CLP,,0,"Aventura, Indie, Rol, Simuladores, Estrategia",Time Hunters SpA,Time Hunters SpA
steam,3740690.0,Hybrid Blood,1 SEP 2025,2025,False,9800.0,CLP,,0,"Acción, Aventura, Indie, Rol, Acceso anticipado",Huggman,Huggman
steam,3781770.0,"Scalpel, Please!",Próximamente,Unknown,False,0.0,CLP,,0,"Casual, Indie, Simuladores",WoolCat Games,WoolCat Games
steam,3843120.0,Valiants: Arena,16 OCT 2025,2025,True,0.0,CLP,,0,"Casual, Indie, Estrategia, Free to Play, Acceso anticipado",Vortrius,Vortrius
steam,3911490.0,Forge the Fates,Próximamente,Unknown,False,0.0,CLP,,0,"Indie, Estrategia",Chaos Logic Studios,Surefire.Games
steam,3920520.0,Mecha Survivors - Early Access,20 AGO 2025,2025,False,1900.0,CLP,,0,"Acción, Indie, Rol, Simuladores","Lowie Games SpA, Time Hunters SpA",Lowie Games SpA
steam,3982510.0,Avoidthis,23 OCT 2025,2025,False,1900.0,CLP,,0,Indie,avoidthis_games,avoidthis_games
steam,3997250.0,PaRoKuuu,Por confirmarse,Unknown,False,0.0,CLP,,0,"Casual, Indie, Estrategia",Xera Studios,Xera Studios
steam,4007170.0,SAI: Servicio de Auxilio Inmediato,Próximamente,Unknown,False,0.0,CLP,,0,"Indie, Rol",Ando Ido Studio,Ando Ido Studio
steam,4079810.0,Don Pepe y sus globos,2026,2026,False,0.0,CLP,,0,"Acción, Indie",Ibis Interactive,ibis interactive
steam,4094120.0,Microlandia,3 DIC 2025,2025,False,4200.0,CLP,,0,Simuladores,Information Superhighway Games,Information Superhighway Games
steam,4094820.0,Space Evolver,8 SEP 2026,2026,False,0.0,CLP,,0,"Indie, Rol, Estrategia",JoaKing,JoaKing
steam,4149750.0,Stick Out!,febrero de 2026,2026,False,0.0,CLP,,0,"Acción, Aventura, Indie",ParallaxFox,ParallaxFox
steam,4160010.0,Chromatic Battles,febrero de 2026,2026,False,0.0,CLP,,0,"Acción, Casual, Indie, Estrategia",NightWave Games,NightWave Games
steam,434460.0,Rock of Ages 2: Bigger & Boulder™,28 AGO 2017,2017,False,6400.0,CLP,,2656,"Acción, Indie, Carreras, Estrategia",ACE Team,SEGA
steam,457260.0,Omen of Sorrow,23 MAR 2023,2023,False,3960.0,CLP,,0,"Acción, Indie",AOne Games,Eastasiasoft Limited
steam,510540.0,Long Gone Days,10 OCT 2023,2023,False,15618.0,CLP,,454,"Aventura, Indie, Rol",This I Dreamt,Serenity Forge
steam,567980.0,Santa Rockstar,13 DIC 2016,2016,False,3100.0,CLP,,255,"Casual, Indie",Bekho Team,Volens Nolens Games
steam,770760.0,Dungeon of the Forgotten King,2026,2026,False,0.0,CLP,,0,"Indie, Rol",Crazy Goat Studios,Crazy Goat Studios
steam,776930.0,Omnibion War,6 FEB 2020,2020,False,4200.0,CLP,,0,"Acción, Indie",Crazy Bullet,Fulqrum Publishing
steam,863460.0,Cyber Ops,21 MAY 2020,2020,False,6400.0,CLP,,106,"Acción, Indie, Simuladores, Estrategia",Octeto Studios,Games Operators
steam,865680.0,The Eternal Cylinder,13 OCT 2022,2022,False,13000.0,CLP,79.0,1009,"Acción, Aventura",ACE Team,Good Shepherd Entertainment
steam,906480.0,Defenders of Ekron - Definitive Edition,7 AGO 2018,2018,False,6400.0,CLP,,0,"Acción, Aventura, Indie",In Vitro Games,In Vitro Games
itch,,This is Chile - Psychiatric edition,,Unknown,True,0.0,USD,,0,Educational,Predeterminado,Self-published
itch,,CoÃ±aripe,,Unknown,True,0.0,USD,,0,Fighting,Crismoonster,Self-published
itch,,DINA,,Unknown,True,0.0,USD,,0,Unknown,Khoser,Self-published
itch,,Froggo Qlero,,Unknown,True,0.0,USD,,0,Adventure,ElLimitador,Self-published
itch,,Quest for the Epic Treasure,,Unknown,True,0.0,USD,,0,Platformer,orenjikun,Self-published
itch,,Nada hacia presagiar,,Unknown,True,0.0,USD,,0,Adventure,iddgamelabs,Self-published
itch,,Huemulixir,,Unknown,True,0.0,USD,,0,Interactive Fiction,CLSource,Self-published
itch,,Age of Origins - Prototype,,Unknown,True,0.0,USD,,0,Educational,Rolando Chaparro Gehren,Self-published
itch,,Super Happy Jump,,Unknown,True,0.0,USD,,0,Platformer,Elvis Brevi,Self-published
itch,,Erden - Classic RPG (DEMO),,Unknown,True,0.0,USD,,0,Role Playing,XeloSky,Self-published
itch,,Molly Inc (Prototype),,Unknown,True,0.0,USD,,0,Adventure,Rolando Chaparro Gehren,Self-published
itch,,Presidential Fighter,,Unknown,True,0.0,USD,,0,Unknown,imkrut,Self-published
itch,,Kito,,Unknown,True,0.0,USD,,0,Platformer,Krypth,Self-published
itch,,Portonazo,,Unknown,True,0.0,USD,,0,Fighting,Victor Rosas,Self-published
itch,,FireFighters,,Unknown,True,0.0,USD,,0,Strategy,CÃ©sar Jara,Self-published
itch,,Dismal Day,,Unknown,True,0.0,USD,,0,Survival,Phyro,Self-published
itch,,Portales: El peso de la noche,,Unknown,True,0.0,USD,,0,Role Playing,Rolando Chaparro Gehren,Self-published
itch,,ScapeFromLatam,,Unknown,True,0.0,USD,,0,Unknown,Rancucho,Self-published
itch,,CaleidoMar: La Jaiba,,Unknown,True,0.0,USD,,0,Simulation,pulpaulaa,Self-published
itch,,Zogar,,Unknown,True,0.0,USD,,0,Platformer,Avgrat,Self-published
itch,,STGO SK8 (Santiago Skate),,Unknown,True,0.0,USD,,0,Sports,Disketx,Self-published
itch,,MaldiciÃ³n del Alicanto,,Unknown,True,0.0,USD,,0,Survival,MDL74FSRE1Hz,Self-published
itch,,Michi come back home,,Unknown,True,0.0,USD,,0,Adventure,cpher,Self-published
itch,,The Longest Completo,,Unknown,True,0.0,USD,,0,Unknown,[Random Adjective],Self-published
itch,,Churro Maniacs,,Unknown,True,0.0,USD,,0,Simulation,FlammyGameDev,Self-published
itch,,Memoria Fragmentada,,Unknown,True,0.0,USD,,0,Unknown,FlammyGameDev,Self-published
