name,cleaned_text,primary_genre,gross_revenue_est_usd,recommendations,is_success
3D Ultra™ Minigolf Adventures,ya seas un jugador experimentado o solo un principiante prepárate para una rápida y divertida partida con cuatro estilosos personajes animados avanza con tus mejores golpes a lo largo de 36 hoyos de minigolf llenos de diversión en campos en 3d con greens en altura bunkers puentes y obstáculos de agua entre otros disparatados obstáculos también puedes elegir entre una selección de entornos diferentes a tu gusto que incluyen la feria el viejo oeste o el espacio exterior      campos en 3d cuidadosamente diseñados barridos panorámicos de los hoyos y alucinantes diseños de los campos      modo multijugador con 4 jugadores  escoge entre cuatro personajes con alto nivel de detalle cada uno con su propia personalidad y animaciones diferentes      36 desafiantes hoyos   basados en tres temáticas principales la feria el viejo oeste o el espacio exterior      extras del juego   colecciona potenciadores de primera y evita las imaginativas trampas para mantener el trepidante e impredecible ritmo del juego      editor de campos personalizados  diseña tu propio campo mezclando y encajando combinaciones de tees rectas curvas copas intersecciones y rampas      ya seas un jugador experimentado o solo un principiante prepárate para una rápida y divertida partida con cuatro estilosos personajes animados avanza con tus mejores golpes a lo largo de 36 hoyos de minigolf llenos de diversión en campos en 3d con greens en altura bunkers puentes y obstáculos de agua entre otros disparatados,Deportes,15048.0,114,1
Bandits,una arena de batalla de tanques multijugador local steam remote play también funcionajuega las 16 misiones individuales o en una de las 12 arenas multijugadorbattle arena es un modo pvp para 24 jugadores todos contra todos o con equipos cooperativosjuega con cualquiera de los 8 personajes únicos cada uno con su propio estilo de juego habilidades y un tanquemáquina único y espectacularhay cuatro entornos distintos llenos de elementos destructibles sumérgete en emocionantes batallas de tanques destruye entornos destructibles domina mapas variados y elige entre una selección de personajes únicos pon a prueba tus estrategias y reflejos en misiones en solitario o en partidas pvp,Acción,0.0,0,0
"Causa, Voices of the Dusk",lanzamiento oficialacerca del juegocausa voces del ocaso es  un intrigante juego de cartas coleccionables en el cual tus decisiones cambiarán el curso del juego sacrifica cartas para aumentar tu causa y tráelas de vuelta nuevamente para lograr las jugadas más increíbles demuestra tus habilidades y construye tu camino hacia la victoria en desafiantes campañas en formato draft sacrifica cartas y traélas de vuelta en el momento precisocausa presenta un sistema de recursos original y sin precedentes en el género sacrifica cartas desde tu mano o tu mesa para aumentar tu causa y trae de vuelta estas cartas más adelante en el juego para lograr las jugadas más poderosas y estratégicas una mano llena de posibilidadesal comienzo de tu turno siempre robarás cartas hasta completar tu mano de 4 cartasy podrás jugar hasta 2 cartas por turno siempre que cumplas con el nivel de causa requerido cuando juegues cartas tu causa no se consume esto permite una experiencia de juego dinámica y altamente estratégica con incontables posibilidades cambia el curso del juego con tus decisiones de líderal aumentar tu causa desbloquearás las poderosas habilidades de cada líder descubrirás que decisiones difíciles tomadas con sabiduría pueden cambiar radicalmente el curso del juego construye tu camino hacia la victoriaexplora un vasto y exótico universo de fantasía en desafiantes campañas en formato draft demuestra tus capacidades y supera los desafíos para obtener recompensas especialesfuncionalidadessistema de juego original con gran profundidad estratégica sacrifica cartas de tu mano o tu juego para aumentar tus recursos  juega dos cartas por turno  trae de vuelta al juego las cartas sacrificadas para lograr poderosas jugadas completa tu mano de 4 cartas al comienzo de tus turnos  haz uso de habilidades especiales para robar sacrificar jugar y traer de vuelta más cartas al juego decisiones de líderes usa las poderosas habilidades de cada líder para cambiar el curso del juego múltiples caminos a la victoria escoge entre distintos poderes y líderes jugables demuestra tus habilidades y gana recompensas en desafiantes campañas singleplayer  explora un original y exótico universo de fantasía  causa voces del ocaso es un intrigante juego de cartas coleccionables con innovadoras mecánicas sacrifica cartas para aumentar tu causa y tráelas de vuelta para las jugadas más poderosas y inesperadas demuestra tus habilidades y supera desafiantes campañas en formato draft,Indie,0.0,0,0
Stoppa!,historiabienvenido al mundo de stoppamalvadas máquinas gigantes han acabado con todos los seres vivos del planeta solo quedas túusa tu poder de detener el tiempo para manipular los objetos a tu alrededor recorre las 5 áreas y derrota a los jefes uno por uno para restaurar la vida en este mundocaracterísticasno controlas al personaje sino al estado del tiempo y los objetos a tu alrededor50 niveles llenos de trampas y puzzles5 o más poderosos jefes50 misiones desafiantes50 accesorios 5 skins música y 2 geniales minijuegos desbloqueablescustomización elige un accesorio un skin dibuja caras propias y guarda o carga plantillasrangos de nivel mientras menos tiempo te tome completar un nivel más estrellas de rango conseguirásdesafío de jefes vuelve a luchar contra los jefes desbloqueados para mejorar tus tiempos totalespuedes jugar utilizando solamente un mousepuedes jugar utilizando un mouse y un teclado en conjuntopuedes jugar utilizando un control de xbox one detén el tiempo y manipula los objetos a tu alrededor para llegar hasta la linea de meta,Indie,0.0,0,0
Hijos del Invierno,bajo el invernal cielo del país de perpetua en el humilde pueblo nevado de lunensis viven dos jóvenes hermanos emilia y el pequeño pepo recientemente su madre fue exiliada por las autoridades del pueblo siendo marcada en su mejilla para nunca volver a ningún sitio civilizado condena que comparten todos los criminales de perpetua ante esta situación emilia y pepo quedaron abandonados a su suerte sin embargo un día divisan extrañas señales luminosas que provienen de los bosques que rodean las murallas fronterizas de lunensis y ellos convencidos de que erika su madre es quien les envía este llamamiento salen en su búsquedahijos del invierno es actualmente una demo de un juego de plataformas estilo metroidvania para un solo jugador donde manejarás a emilia una adolescente de 13 años y a pepo su pequeño hermano de 6 años quienes harán uso de sus habilidades y cualidades para recorrer el nevado país de perpetua sin embargo las amenazas son demasiado grandes para estos niños por lo que además deberán usar su ingenio para sortear los peligros que aguardan encarar al enemigo no siempre es la mejor opciónsalta esquiva disparalos bosques de perpetua están habitados por peligrosos criminales exiliados y errantes criaturas mágicas emilia hará uso de su porotera una curiosa herramienta que lanza pequeños proyectiles para poder distraer y hacer frente a las amenazas que enfrentará en el caminomagiaun misterio envuelve a la figura de pepo quien puede congelar a algunas de las criaturas mágicas con solo pensarlo utiliza esta habilidad para tomar un respiro de aquellas agobiantes huestes que dificultan tu camino también puedes utilizar a las bestias congeladas como plataformas para llegar a otros lugares más alejadosmejora tus habilidadesno solo enemigos hallarás en tu camino encuentra aliados que te ayuden a mejorar el potencial de tu poroteradescubre secretosel país de perpetua es el único conocido que se formó después de que el invierno eterno azotara el planeta 200 años han pasado y mucho se ha perdido u olvidadocaminos separadosen ocasiones pepo deberá asumir la responsabilidad de llegar a destino maneja al valeroso pepo mientras sobrepasa las dificultades de perpetuarecorre los pueblos de perpetuaun puñado de pueblos y ciudades han surgido desde el invierno eterno la miseria es una constante pero cada uno tiene distintas costumbres y actividadesenfrenta poderosos jefesuna de las principales razones por la cual muchos de los que salen de los pueblos de perpetua nunca regresan es por la amenaza de grandes enemigos mágicos y humanos su salvajismo no tiene límites y escapar no es una opciónactualmente hijos del invierno es una demo en estado alpha por lo cual esperamos todo tipo de comentarios que nos ayude a mejorar y transformarlo en un videojuego memorable hijos del invierno es un videojuego de acción plataformero que cuenta la historia de emilia y pepo dos hermanos que recorren el misterioso y nevado país de perpetua en busca de su madre para ello tendrán que sortear increíbles peligros tanto mágicos como humanos,Acción,0.0,0,0
The Signifier Director's Cut,directors cut update  out nowfree major update  out nowthis major update brings together every last piece of work that went into making the signifier and then some more to see and hear new endings a cinematic mode with puzzle solutions performance optimizations and countless little touchups throughout to make this the ultimate expression of the game and its all here in a free updateacerca del juegothe signifier es una aventura en primera persona de misterio tecnología y género negro que combina magistralmente conceptos como la investigación la psicología experimental y la inteligencia artificialresuelve puzles explora el mundo real y el subconsciente sumérgete en la psicología extrema e investiga la verdad como frederick russell experto en inteligencia artificial y psicología e investigador al mando del proyecto dreamwalker un dispositivo experimental diseñado para explorar las profundidades de la mente humana esta controvertida tecnología permite navegar por las experiencias sensoriales y los reinos del subconsciente almacenados en lo más recóndito de nuestro cerebro de repente frederick se ve envuelto en una espiral de intriga cuando la vicepresidenta de la mayor empresa de tecnología del mundo aparece muerta en su apartamento y le piden que use su creación para averiguar cómo ha ocurrido ahora incluye la actualización a la edición directors cut mejoras y ajustes en distintos aspectos del juego para ofrecerte la versión definitiva de the signifier la actualización gratuita a la edición directors cut incluye más recuerdos diálogos finales adicionales y mejoras de rendimiento novedades contenido narrativo ampliado con más recuerdos diálogos y voces tres finales adicionales y un nuevo epílogo que profundiza en ciertos personajes y decisiones importantes  mejoras de rendimiento para ofrecer una experiencia más fluida con tiempos de carga más rápidos frecuencias de refresco superiores animaciones e interfaz de usuario rediseñadas y otras optimizaciones para los pc menos potentes  características de juego adicionales como una nueva opción de dificultad para quienes solo estén interesados en experimentar la historia del juego además de nuevos consejos de menú pistas y controles reconfigurables  actualización gratuita para todos los jugadores que ya tengan the signifier en steam  característicasexplora las tres dimensiones que coexisten en el juego la realidad los recuerdos objetivos y los sueños subjetivos del reino de la mentemuévete entre los distintos planos para resolver puzles desbloquear nuevas ramificaciones de diálogo y desvelar el misterioaprende conceptos de la psicología para usar poderes y herramientas que te permitirán abrirte paso por un subconsciente extraño e impredeciblecada desafío forma parte de un misterio con momentos únicos y sin contenido de rellenola narrativa se desarrolla en varias capas a la vez y se abre a una compleja red de intrigas en el mundo real envuelta en un suspense surrealistavive una experiencia que te pondrá en tensión a base de ideas inquietantes no de sustos y sobresaltosplantéate las implicaciones de la inteligencia artificial el allanamiento del subconsciente y la privacidad el mundo es como lo vemos o una creación subjetiva de nuestra mente en esta aventura vivirás un misterio de muerte y desesperación que te llevará de la realidad al mundo del recuerdo y las vivencias busca en las profundidades de la mente resuelve puzles y descubre una oscura verdad en este thriller psicológico,Aventura,107848.0,244,1
Rock of Ages 3: Make & Break,crea tus propios niveles destroza los de los demásrock of ages 3 make amp break es un juego de defensa de torres y acción arcade creado con el humor extravagante y absurdo de ace team y que ha dado lugar a un título enorme y creativo que pasará a la historiasumérgete en la extensa y alocada historia para disfrutar de una aventura variopinta con la irreverente aparición de personajes legendarios o por primera vez crea y comparte tus propios niveles con amigos o desconocidos en línea en una mezcla en tiempo real de frenética defensa de torres y la épica acción arcade de carreras de piedrascaracterísticas principalescrea y rompe mundosdiseña y crea tus propios niveles en el intuitivo editor comparte tus creaciones con jugadores de todo el mundo y vive una diversión creativa sin límitesdefensa de torres competitivaconstruye defensas y corre a destruir las de tu oponente con el multijugador en línea de hasta 4 jugadores o juega cara a cara con la pantalla dividida para 2 jugadoresacción arcade aplastapedruscosaplasta todo lo que se interponga en tu camino tan rápido como puedas en seis modos de juego distintos de estilo arcade con más de 20 rocas chifladasabsurdamente divertidolibera tu lado salvaje con la divertidísima historia de ace team en la grandísima campaña en la que recorrerás la historia y más allá hay apariciones estelares como la de césar moctezuma krampus o el monstruo de espagueti voladorun montón de modos de juegodefiende tu base en la nueva avalancha de piedras perfecciona tus habilidades rodantes en el frágil modo humptydumpty corre a contrarreloj en las pruebas de tiempo o crea tu propio estilo de juego con el creador y diviértete durante horas rock of ages 3 make amp break es un juego de defensa de torres y acción arcade creado con el humor extravagante y absurdo de ace team y que ha dado lugar a un título enorme y creativo que pasará a la historia,Acción,314623.2,1167,1
El Culto,"si te gustan los juegos rpg old school entonces este juego puede ser de tu agrado sumérgete en la historia de este detective que sigue la pista de los asesinatos de una secta satánica descubre a medida que avanza la historia como se desenvuelve la trama de nuestro héroe y como su vida cambia de un día a otro al darse cuenta lo que está detrás de los acontecimientos que están sucediendo al perseguir al culto que intenta revivir un antiguo demonio
        este juego tiene una duración aproximada de 3 horas disfrútalo cuando lo descargues e intenta desvelar todos sus secretos disfruta de esta porción del juego rpg old school encarna a este detective que investiga una serie de asesinatos perpetrados por una secta satánica impide que se desate el caos y evita que quotel cultoquot reviva a un antiguo demonio del infierno",Aventura,0.0,0,0
Asterminer,dive into a serene atmospheric journey in space control a mining ship train and operator on distant planets and asteroids gather resources for your loved ones in this immersive slowpaced grounded scifi adventure,Casual,0.0,0,0
Door Kickers 2: Task Force North,"carga lista me dijo el líder del equipo alfa  sin saber lo que nos esperaba tras la puerta le ordené quotvuélalaquot a través de la radio   recibido respondió deslizando su dedo en la anilla del sistema de ignición apretó la clavija la giró un cuarto de vuelta y tiróla noche dejó de ser silenciosa al llenarse con el sonido de madera resquebrajándose las ventanas reventaron y trozos de cristal cayeron al suelo las paredes temblaron a mi alrededor donde antes había una puerta ahora solo ha quedado humo como agua desbocada al salir de una presa los hombres fluyeron hacia lo desconocido
     de violence of action de marty skovlund
secuela del exitoso juego táctico door kickers task force north te trae la mejor representación de combate y tácticas modernas en videojuegodoor kickers 2 es un juego de estrategia y táctica en el que controlas unidades de operaciones especiales en intrépidas redadas para rescatar rehenes y neutralizar o capturar terroristas el el ficticio país de nowheraki en oriente mediofiel a la violenta y dinámica naturaleza del combate en esta región el juego modela letales amenazas y tecnologías tales como hombresbomba suicidas explosivos improvisados y lanzagranadas  tendrás a tu disposición nuevos juguetes como ametralladoras ligeras para realizar fuego de supresión gafas de visión nocturna para dominar la noche y cargas explosivas para reventar muros y abrir nuevas rutas de ataquese añaden además mejoras a la hora de preparar tu equipo ahora puedes escoger de entre tres tipos de unidad para desplegar en cualquier misión el juego incluye 3 unidades los rangers del ejército de eeuu traen potencia de fuego y una gran habilidad para la violencia coordinada la división de actividades especiales de la cia dispone de una pequeña unidad de especialistas encubiertos capaces de infiltrarse y también realizar ataques quirúrgicos cuando sea necesario por último pero no menos importantes los nowheraki swat luchan a muerte por su patria usando tecnología improvisada o equipamiento prestado de sus consejeros estadounidenses la elección no es simplemente de apariencia y armas sino que cada unidad tiene su propio estilo de juego habilidades y docrtrinas de unidadpuntos destacados vista desde arriba optimizada para el análisis táctico jugabilidad en tiempo real con pausa para poder pensar y cambiar los planes sin turnos casillas ni puntos de acción  solo planificación completamente libre realista pero repleto de acción niveles no lineares múltiples opciones y libertad para romper cualquier muro modo de juego de campaña incluyendo opción iron man muerto es muerto múltiples unidades con las que jugar cada una con un estilo de juego diferenciado actualmente hay tres disponibles personalización de armas entornos destruibles modo de un jugador y multijugador cooperativo online 24 jugadores motor 3d hecho a medida lo que permite un mayor soporte para mods editor de misiones compatible con steam workshopdoor kickers 2 incluye más de 90 misiones hechas a mano además de campañas hechas a mano y generadas generador de misiones aleatorias y un completo editor de niveles que te permite crear tu propio contenido el steam workshop ya tiene más de 7000 misiones y ahora permite unidades personalizadas conversiones totales y todo tipo de locuras por las que nuestros modders se han hecho famosos dirige equipos militares de operaciones especiales en emocionantes combates tácticos contra organizaciones terroristas de oriente medio la secuela del quotmejor juego táctico de 2014quot según rockpapershotgun",Acción,6253401.6,11428,1
